tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls
tt0000009,Miss Jerry,Miss Jerry,1894,Romance,45,USA,None,Alexander Black,Alexander Black,The adventures of a female reporter in the 1890s.,5.9,154,"https://m.media-amazon.com/images/M/MV5BNjA5Y2ZhYzctNDc1Yy00OGViLWI3NGUtOTYwZmE3NDFiYmIxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR72,0,182,268_AL_.jpg"
tt0002101,Cleopatra,Cleopatra,1912,"Drama, History",100,USA,English,Charles L. Gaskill,Victorien Sardou,The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.,5.2,446,"https://m.media-amazon.com/images/M/MV5BZTcyMGU4ZmYtYTVmYS00NWFkLWExM2MtYWRlYTlhOWYxNjYwXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_UY268_CR7,0,182,268_AL_.jpg"
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth","From the Manger to the Cross; or, Jesus of Nazareth",1912,"Biography, Drama",60,USA,English,Sidney Olcott,Gene Gauntier,"An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise...",5.7,484,"https://m.media-amazon.com/images/M/MV5BZTQ3MDdkMWEtYjJmMS00YmE3LTgxMDktOWUwZjczMTdhNGQ1XkEyXkFqcGdeQXVyODg3Mjk3Mjc@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0002461,Richard III,Richard III,1912,Drama,55,"France, USA",English,"André Calmettes, James Keane","James Keane, William Shakespeare",Richard of Gloucester uses manipulation and murder to gain the English throne.,5.5,225,"https://m.media-amazon.com/images/M/MV5BMTQ1ODY2NTU4OF5BMl5BanBnXkFtZTgwNTc3NjU4MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0003471,Traffic in Souls,Traffic in Souls,1913,"Crime, Drama",88,USA,English,George Loane Tucker,,"A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.",6,552,"https://m.media-amazon.com/images/M/MV5BYzk0YWQzMGYtYTM5MC00NjM2LWE5YzYtMjgyNDVhZDg1N2YzXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0003973,A Florida Enchantment,A Florida Enchantment,1914,Comedy,63,USA,English,Sidney Drew,"Marguerite Bertsch, Archibald Clavering Gunter","A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fiancé. The fun begins.",5.8,202,"https://m.media-amazon.com/images/M/MV5BNjE5MTA5NDItNmVhYi00NDljLTg4MjgtMjRhMzVlZmUxYWRlXkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0003772,Cinderella,Cinderella,1914,"Fantasy, Drama",52,USA,English,James Kirkwood,Charles Perrault,"Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.",6,929,"https://m.media-amazon.com/images/M/MV5BNDRhMGQ1NWMtNmZkNS00MGYxLTg0ZWUtMGRlYmZiMzQ3YTc1XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0004099,"His Majesty, the Scarecrow of Oz","His Majesty, the Scarecrow of Oz",1914,"Family, Fantasy, Adventure",59,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum","A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier Googly-Goo, though she loves Pon, the Gardener's Boy. The camera now ...",5.2,415,"https://m.media-amazon.com/images/M/MV5BZWZmZTZhMTQtZDhjZS00MTQyLThjMDQtYWYzN2NkYTEyMTJlXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0003167,Amore di madre,"Home, Sweet Home",1914,Drama,55,USA,English,D.W. Griffith,"D.W. Griffith, H.E. Aitken","John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives.",5.8,187,"https://m.media-amazon.com/images/M/MV5BOTZjNzg2MjgtODJkNy00NWM5LTg2MTAtZGVmZTRiOGEyODJhXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0004150,In the Land of the Head Hunters,In the Land of the Head Hunters,1914,"Drama, History",65,"USA, Canada",English,Edward S. Curtis,Edward S. Curtis,"In 1911, as part of his massive undertaking, famed Northwest photographer Edward S. Curtis travelled to Vancouver Island, British Columbia, to visit the Kwakwaka'wakw. By the next year, ...",5.8,402,"https://m.media-amazon.com/images/M/MV5BMjE3MjAyNzM5NV5BMl5BanBnXkFtZTgwMjA5OTg5NjE@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0004181,Judith of Bethulia,Judith of Bethulia,1914,Drama,61,USA,English,D.W. Griffith,"Thomas Bailey Aldrich, D.W. Griffith","A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.",6.1,1239,"https://m.media-amazon.com/images/M/MV5BNWE4M2M0MGUtMjk4Ni00OGE4LWJkZDUtMWI0ZDJlMDYxZjY5XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0004681,La madonnina del porto,Tess of the Storm Country,1914,Drama,80,USA,English,Edwin S. Porter,"Grace Miller White, B.P. Schulberg","A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder.",6.1,178,"https://m.media-amazon.com/images/M/MV5BOWNhMWVjYzctMDg3NC00MjJjLTkzNzUtZDAxMTllNTY4NDYwXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime, Drama, Horror",78,USA,English,D.W. Griffith,"Edgar Allan Poe, D.W. Griffith","Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.",6.4,1105,"https://m.media-amazon.com/images/M/MV5BNDdhMjhhODAtZjAyZS00NGE3LWFjMzUtYmU3ZThkNDExYmU3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0003657,The Bargain,The Bargain,1914,Western,70,USA,English,Reginald Barker,"William H. Clifford, Thomas H. Ince","After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...",6.5,144,"https://m.media-amazon.com/images/M/MV5BNjc4NjU0ZDAtMzBiZi00MTU2LTk2MGYtZjcwMDExNmM3MTI3XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0004457,The Patchwork Girl of Oz,The Patchwork Girl of Oz,1914,"Adventure, Family, Fantasy",81,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum","Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve. Along the way, they meet Mewel, a waif and stray (mule) who leads them to Dr....",5.5,382,"https://m.media-amazon.com/images/M/MV5BMzgxZjk1NjUtMTkxMS00YjQ0LTlmNzMtNDUxZDFmMTdmZmM5XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_UY268_CR6,0,182,268_AL_.jpg"
